id,type,text1,text2,text3,text4,notes,Column 08
#SHIPS,,,,,,,
Ac_Crasher,SHIP,"A gunship retrofitted by integrating modular cargo components and modified Mudskipper modules onto a Gemini-class hull. The most notable tradeoff is its fragile shields. Despite structural weaknesses, its overwhelming firepower and ease of modification earn it high praise—among factions capable of utilizing it.",,,,,
Ac_Alice,SHIP,"A battlecruiser designed to address the Invincible Fleet's lack of mobility, albeit with slightly reduced firepower. Compared to the Onslaught-class, it boasts superior maneuverability and highly customizable weapon mounts.

While the Domain-era Invincible Fleet left its mark on history (and the Persean Sector) with the Onslaught and Legion-class fortresses, they struggled to fulfill all roles efficiently. The Alice-class bridges the gap between battleships and cruisers, retaining heavy firepower and armor while gaining independent operational capabilities through enhanced mobility and a versatile weapon system.

Though overshadowed by the Onslaught and other capital ships, this vessel's adaptability secures its place in this fractured era.",,,,,
Ac_Alice_oc,SHIP,"A battlecruiser designed to address the Invincible Fleet's lack of mobility, albeit with slightly reduced firepower. Compared to the Onslaught-class, it boasts superior maneuverability and highly customizable weapon mounts. A minor flight deck was added to compensate for its weaker firepower, though system compatibility issues reduced its performance.

While the Domain-era Invincible Fleet left its mark on history (and the Persean Sector) with the Onslaught and Legion-class fortresses, they struggled to fulfill all roles efficiently. The Alice-class bridges the gap between battleships and cruisers, retaining heavy firepower and armor while gaining independent operational capabilities through enhanced mobility and a versatile weapon system.

Though overshadowed by the Onslaught and other capital ships, this vessel's adaptability secures its place in this fractured era.",,,,,
Ac_Alice_os,SHIP,"A battlecruiser designed to address the Invincible Fleet's lack of mobility, albeit with slightly reduced firepower. Compared to the Onslaught-class, it boasts superior maneuverability and highly customizable weapon mounts. A large ballistic mount was added to compensate for its weaker firepower, though system compatibility issues reduced its performance.

While the Domain-era Invincible Fleet left its mark on history (and the Persean Sector) with the Onslaught and Legion-class fortresses, they struggled to fulfill all roles efficiently. The Alice-class bridges the gap between battleships and cruisers, retaining heavy firepower and armor while gaining independent operational capabilities through enhanced mobility and a versatile weapon system.

Though overshadowed by the Onslaught and other capital ships, this vessel's adaptability secures its place in this fractured era.",,,,,
Ac_Astle,SHIP,"An Expansion Era carrier battleship: fast, agile, and armed with devastating firepower.

Powered by advanced engines, this massive hull achieves remarkable speed. Equipped with advanced targeting systems and four standard flight decks, it threatens all foes.

As the high-tech successor to the Legion-class carrier battleship, the Astle stands as another Domain marvel—enduring pressure from specialized ships like the Paragon and Astral, or comparisons to the Odyssey-class. Yet its versatility and raw power ensure dominance in any scenario.",,,,,
Ac_Attker,SHIP,"A hybrid hull cobbled from Kite, Hound, and Sunder parts, prioritizing speed and missile armament.

Criminals covet this retrofit for hit-and-run raids. Its blistering speed and burst firepower allow swift destruction of merchant convoys or suicidal charges against hardened targets. Simply put, this Sunder variant outpaces fighters and leaves most warships in the dust.",,,,,
Ac_Attker_S,SHIP,"A hybrid hull cobbled from Kite, Hound, and Sunder parts, prioritizing speed and missile armament.

Criminals covet this retrofit for hit-and-run raids. Its blistering speed and burst firepower allow swift destruction of merchant convoys or suicidal charges against hardened targets. Simply put, this Sunder variant outpaces fighters and leaves most warships in the dust.",,,,,
Ac_Attker_X,SHIP,"A hybrid hull cobbled from Kite, Hound, and Sunder parts, prioritizing speed and ballistic armament.

Criminals covet this retrofit for hit-and-run raids. Its blistering speed and burst firepower allow swift destruction of merchant convoys or suicidal charges against hardened targets. Simply put, this Sunder variant outpaces fighters and leaves most warships in the dust.",,,,,
Ac_prometheus_3,SHIP,"Luddic Path zealots repurposed a Prometheus fuel hauler—loaded with ""Hellfire"" (antimatter fuel)—into a mobile crusade platform.

The gutted Prometheus was stuffed with nano-forges to mass-produce fighters. However, the sheer number of flight decks destabilizes its systems, jeopardizing the ship itself.",,,,,
